registry_club_id,source,source_organism,source_club_id,name,normalized_name,fiscal_code,legal_type,region,province,municipality,representative_name,valid_until,registered_at,affiliation_code,sport_year_start,sport_year_end,supported_sports,detail_url
coni:100,CONI,FIGC,100,ASSOCIAZIONE POLISPORTIVA D.CAMPITELLO,ASSOCIAZIONE POLISPORTIVA D CAMPITELLO,00270240559,Associazione senza personalità giuridica,Umbria,TR,Terni,"CASTELLANI, CRISTIANO",18/05/2026,29/03/2006,62608,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100
coni:10000,CONI,CSI,10000,HELLAS ALBINEA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,HELLAS ALBINEA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,01959950351,Associazione senza personalità giuridica,Emilia-Romagna,RE,Albinea,"GRASSELLI, LUCA",18/05/2026,12/03/2007,04200012,19/08/2025,30/06/2026,Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10000
coni:10001,CONI,CSI,10001,A.S.D. HOCKEY PRATO CITTA' DEL TRICOLORE,A S D HOCKEY PRATO CITTA DEL TRICOLORE,01959960350,Associazione senza personalità giuridica,Emilia-Romagna,RE,Reggio nell'Emilia,"BONACINI, MARCO",18/05/2026,23/12/2005,080301,01/09/2025,31/08/2026,Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10001
coni:100072,CONI,CSI,100072,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ATLETICO MALDOSSI,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ATLETICO MALDOSSI,94102830547,Associazione senza personalità giuridica,Umbria,PG,Corciano,"MENCULINI, ANNA RITA",18/05/2026,04/03/2009,00600050,24/09/2025,31/08/2026,Basket,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100072
coni:100118,CONI,CSEN|FIGC,100118,A.S.D. JOCA BONITO FOGGIA,A S D JOCA BONITO FOGGIA,94105160710,Associazione senza personalità giuridica,Puglia,FG,Foggia,"PETRONIO, GIOVANNI",18/05/2026,20/11/2017,952352,01/07/2025,30/06/2026,Calcio|Futsal,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100118
coni:10015,CONI,FIGC,10015,A.S.D.FILICAIA DIAVOLI ROSSI,A S D FILICAIA DIAVOLI ROSSI,01961360466,Associazione senza personalità giuridica,Toscana,LU,Camporgiano,"BROGI, MARCO",18/05/2026,21/12/2015,951797,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10015
coni:100161,CONI,CSI,100161,DREAMERS ASD,DREAMERS ASD,94107340260,Associazione senza personalità giuridica,Veneto,TV,Treviso,"SCANTAMBURLO, MARCO",18/05/2026,22/02/2009,03100040,09/09/2025,31/08/2026,Basket,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100161
coni:100164,CONI,CSI,100164,VOLLEYFUSION ASSOCIAZIONE SPORTIVA DILETTANTISTICA,VOLLEYFUSION ASSOCIAZIONE SPORTIVA DILETTANTISTICA,94107400262,Associazione senza personalità giuridica,Veneto,TV,Maserada sul Piave,"BIANCHIN, GIANMARCO",18/05/2026,22/02/2009,03100025,13/09/2025,31/08/2026,Volley,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100164
coni:100169,CONI,CSI,100169,RIFONDAZIONE SALESIANA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,RIFONDAZIONE SALESIANA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,94107540547,Associazione senza personalità giuridica,Umbria,PG,Perugia,"GUAITINI, NICOLA",18/05/2026,19/03/2007,00600051,04/10/2025,31/08/2026,Basket,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100169
coni:100180,CONI,CSEN|FIP|UISP,100180,A.S.D.POLISPORTIVA D.L.F. UDINE,A S D POLISPORTIVA D L F UDINE,94108220305,Associazione senza personalità giuridica,Friuli-Venezia Giulia,UD,Udine,"GORTAN, DANILO",18/05/2026,09/01/2006,2265,03/07/2025,30/06/2026,Basket|Calcio|Futsal|Volley,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100180
coni:100182,CONI,CSI,100182,"C.S.I. - ASSOCIAZIONE PARROCHIALE ""T. MELANI""",C S I ASSOCIAZIONE PARROCHIALE T MELANI,94108340483,Associazione senza personalità giuridica,Toscana,FI,Dicomano,"BULLETTI, PAOLO",18/05/2026,08/04/2013,05000119,12/01/2026,30/06/2026,Calcio|Futsal|Volley,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100182
coni:10019,CONI,CSI|FIGC,10019,ASSOCIAZIONE SPORTIVA DILETTANTISTICA FORZA & COSTANZA 1905,ASSOCIAZIONE SPORTIVA DILETTANTISTICA FORZA COSTANZA 1905,01961950167,Associazione senza personalità giuridica,Lombardia,BG,Martinengo,"BASSANI, BATTISTA",18/05/2026,05/11/2007,19430,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10019
coni:10020,CONI,AICS|CSI,10020,A.S.D. AUDACE CASTEL D'ARIO,A S D AUDACE CASTEL D ARIO,01962000202,Associazione senza personalità giuridica,Lombardia,MN,Castel d'Ario,"FERRO, ERMANNO",18/05/2026,29/12/2015,03701276,06/09/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10020
coni:100204,CONI,AICS,100204,WATERBASKET FIRENZE,WATERBASKET FIRENZE,94110060483,Associazione senza personalità giuridica,Toscana,FI,Firenze,"CIAPETTI, VEZIO",18/05/2026,15/04/2010,31436,01/01/2026,31/12/2026,Pallanuoto,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100204
coni:100206,CONI,FIP,100206,ASSOCIAZIONE SPORTIVA DILETTANTISTICA C.O. BASKET 2000 PAESE,ASSOCIAZIONE SPORTIVA DILETTANTISTICA C O BASKET 2000 PAESE,94110170266,Associazione senza personalità giuridica,Veneto,TV,Paese,"PIAN, DAMIANO",18/05/2026,24/11/2006,44616,04/07/2025,30/06/2026,Basket,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100206
coni:10021,CONI,FIGC,10021,G.S. PIETA'2004 ASSOCIAZIONE SPORTIVA DILETTANTISTICA,G S PIETA 2004 ASSOCIAZIONE SPORTIVA DILETTANTISTICA,01962180970,Associazione senza personalità giuridica,Toscana,PO,Prato,"IACOBACCI, ANTONINO",18/05/2026,17/11/2006,914306,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=10021
coni:100211,CONI,FIGC,100211,A.S.D. LIAPIAVE,A S D LIAPIAVE,94110460261,Associazione senza personalità giuridica,Veneto,TV,San Polo di Piave,"ONGARO, SILVANO",18/05/2026,11/12/2009,917132,01/07/2025,30/06/2026,Calcio,https://www.coni.it/it/registro-societa-sportive/home/registro-2-0/RegistroDettaglio.html?id_societa=100211
