registry_club_id,id_societa,club_name,discipline_raw,clubandplayer_sport
coni:100,100,ASSOCIAZIONE POLISPORTIVA D.CAMPITELLO,Calcio (a 11),Calcio
coni:100,100,ASSOCIAZIONE POLISPORTIVA D.CAMPITELLO,Futsal (calcio da sala - calcio a 5),Futsal
coni:10000,10000,HELLAS ALBINEA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Futsal (calcio da sala - calcio a 5),Futsal
coni:10001,10001,A.S.D. HOCKEY PRATO CITTA' DEL TRICOLORE,Futsal (calcio da sala - calcio a 5),Futsal
coni:100072,100072,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ATLETICO MALDOSSI,Pallacanestro,Basket
coni:100118,100118,A.S.D. JOCA BONITO FOGGIA,Calcio (a 11),Calcio
coni:100118,100118,A.S.D. JOCA BONITO FOGGIA,Calcio (a 8),Calcio
coni:100118,100118,A.S.D. JOCA BONITO FOGGIA,Futsal (calcio da sala - calcio a 5),Futsal
coni:100118,100118,A.S.D. JOCA BONITO FOGGIA,Calcio (a 7),Calcio
coni:10015,10015,A.S.D.FILICAIA DIAVOLI ROSSI,Calcio (a 11),Calcio
coni:100161,100161,DREAMERS ASD,Pallacanestro,Basket
coni:100164,100164,VOLLEYFUSION ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Pallavolo,Volley
coni:100169,100169,RIFONDAZIONE SALESIANA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Pallacanestro,Basket
coni:100180,100180,A.S.D.POLISPORTIVA D.L.F. UDINE,Pallacanestro,Basket
coni:100180,100180,A.S.D.POLISPORTIVA D.L.F. UDINE,Futsal (calcio da sala - calcio a 5),Futsal
coni:100180,100180,A.S.D.POLISPORTIVA D.L.F. UDINE,Pallavolo,Volley
coni:100180,100180,A.S.D.POLISPORTIVA D.L.F. UDINE,Calcio (a 11),Calcio
coni:100182,100182,"C.S.I. - ASSOCIAZIONE PARROCHIALE ""T. MELANI""",Futsal (calcio da sala - calcio a 5),Futsal
coni:100182,100182,"C.S.I. - ASSOCIAZIONE PARROCHIALE ""T. MELANI""",Calcio (a 7),Calcio
coni:100182,100182,"C.S.I. - ASSOCIAZIONE PARROCHIALE ""T. MELANI""",Pallavolo,Volley
coni:10019,10019,ASSOCIAZIONE SPORTIVA DILETTANTISTICA FORZA & COSTANZA 1905,Calcio (a 11),Calcio
coni:10020,10020,A.S.D. AUDACE CASTEL D'ARIO,Calcio (a 11),Calcio
coni:10020,10020,A.S.D. AUDACE CASTEL D'ARIO,Calcio (a 7),Calcio
coni:100204,100204,WATERBASKET FIRENZE,Pallanuoto,Pallanuoto
coni:100206,100206,ASSOCIAZIONE SPORTIVA DILETTANTISTICA C.O. BASKET 2000 PAESE,Pallacanestro,Basket
