registry_club_id,organism,affiliation_code,sport_year_start,sport_year_end
coni:100,FIGC,62608,01/07/2025,30/06/2026
coni:10000,CSI,04200012,19/08/2025,30/06/2026
coni:100003,CSEN,53103,01/01/2026,31/12/2026
coni:10001,CSI,080301,01/09/2025,31/08/2026
coni:100012,AICS,1227062,17/03/2026,31/12/2026
coni:100016,UISP,S310582,06/03/2026,31/08/2026
coni:100023,US_ACLI,1301,01/01/2026,31/12/2026
coni:100028,OPES,97845,15/09/2025,31/08/2026
coni:100036,OPES,97616,01/09/2025,31/08/2026
coni:100043,AICS,33766,05/01/2026,31/12/2026
coni:100048,AICS,1224276,02/01/2026,31/12/2026
coni:100057,AICS,1996,01/10/2025,30/09/2026
coni:100064,UISP,S030361,17/09/2025,31/08/2026
coni:100072,CSI,00600050,24/09/2025,31/08/2026
coni:100076,CSEN,15533,01/01/2026,31/12/2026
coni:100090,ENDAS,86082,01/01/2026,31/12/2026
coni:100094,AICS,115325,01/01/2026,31/12/2026
coni:100097,CSI,03100296,30/12/2025,31/08/2026
coni:100099,ASC,220336858,18/09/2025,31/08/2026
coni:100104,CSEN,3936,02/09/2025,31/08/2026
coni:100109,AICS,120365,07/01/2026,31/12/2026
coni:100110,ENDAS,87808,26/01/2026,31/12/2026
coni:100111,CSEN,66738,01/01/2026,31/12/2026
coni:100115,CSEN,62250,01/01/2026,31/12/2026
coni:100117,CSEN,20840,01/01/2026,31/12/2026
coni:100118,CSEN|FIGC,952352,01/07/2025,30/06/2026
coni:100120,CSEN,21282,01/01/2026,31/12/2026
coni:100127,CSI,03300086,14/01/2026,31/12/2026
coni:100133,CSEN,44224,01/01/2026,31/12/2026
coni:100134,CSEN,33913,01/01/2026,31/12/2026
coni:100149,CSI,05000590,01/09/2025,31/08/2026
coni:10015,FIGC,951797,01/07/2025,30/06/2026
coni:100161,CSI,03100040,09/09/2025,31/08/2026
coni:100164,CSI,03100025,13/09/2025,31/08/2026
coni:100169,CSI,00600051,04/10/2025,31/08/2026
coni:10017,CSEN,67466,01/01/2026,31/12/2026
coni:100170,CSI,05000734,01/01/2026,31/12/2026
coni:100180,CSEN|FIP|UISP,2265,03/07/2025,30/06/2026
coni:100181,UISP,M015008,05/09/2025,31/08/2026
coni:100182,CSI,05000119,12/01/2026,30/06/2026
coni:10019,CSI|FIGC,19430,01/07/2025,30/06/2026
coni:100192,CSEN,39947,01/01/2026,31/12/2026
coni:10020,AICS|CSI,03701276,06/09/2025,30/06/2026
coni:100204,AICS,31436,01/01/2026,31/12/2026
coni:100206,FIP,44616,04/07/2025,30/06/2026
coni:10021,FIGC,914306,01/07/2025,30/06/2026
coni:100211,FIGC,917132,01/07/2025,30/06/2026
coni:100212,AICS,118101,12/01/2026,31/12/2026
coni:100213,ASC,30637,02/01/2026,31/12/2026
coni:100220,AICS,25078,01/01/2026,31/12/2026
coni:100236,CSI|FIGC,620367,01/07/2025,30/06/2026
coni:100253,CSI|FIGC,913967,01/07/2025,30/06/2026
coni:10034,FIGC,913889,01/07/2025,30/06/2026
coni:10037,FIGC,640022,01/07/2025,30/06/2026
coni:100399,FIGC,963995,01/07/2025,30/06/2026
coni:10045,CSI|FIGC,945454,01/07/2025,30/06/2026
coni:100468,CSI|FIGC,51610,01/07/2025,30/06/2026
coni:100535,FIGC,941332,01/07/2025,30/06/2026
coni:10054,FIGC,710900,01/07/2025,30/06/2026
coni:100542,FIGC,915425,01/07/2025,30/06/2026
coni:10055,FIGC,945545,01/07/2025,30/06/2026
coni:100580,FIGC,915807,01/07/2025,30/06/2026
coni:10060,FIGC,922670,01/07/2025,30/06/2026
coni:100663,CSI|FIGC,947791,01/07/2025,30/06/2026
coni:100746,CSI|FIGC,953011,01/07/2025,30/06/2026
coni:100755,CSI|FIGC,80962,01/07/2025,30/06/2026
coni:100794,CSI|FIGC,934020,01/07/2025,30/06/2026
coni:1009,FIGC,921707,01/07/2025,30/06/2026
coni:10091,CSI|FIGC,945927,01/07/2025,30/06/2026
coni:101044,FIGC,962883,01/07/2025,30/06/2026
coni:101091,FIGC,937785,01/07/2025,30/06/2026
coni:101147,FIGC,937968,01/07/2025,30/06/2026
coni:10121,CSI|FIGC,59016,01/07/2025,30/06/2026
coni:1013,FIGC,66941,01/07/2025,30/06/2026
coni:101373,FIGC,945227,01/07/2025,30/06/2026
coni:101439,FIGC,920979,01/07/2025,30/06/2026
coni:10148,FIGC,920666,01/07/2025,30/06/2026
coni:101508,CSI|FIGC,920698,01/07/2025,30/06/2026
coni:101555,CSI|FIGC,949261,01/07/2025,30/06/2026
coni:10156,FIGC,930825,01/07/2025,30/06/2026
coni:10157,FIGC,64359,01/07/2025,30/06/2026
coni:101654,CSI|FIGC|UISP,953888,01/07/2025,30/06/2026
coni:101671,CSI|FIGC,943391,01/07/2025,30/06/2026
coni:101762,FIGC,954879,01/07/2025,30/06/2026
coni:10177,CSI|FIGC,945122,01/07/2025,30/06/2026
coni:101779,FIGC,920543,01/07/2025,30/06/2026
coni:10179,FIGC,932547,01/07/2025,30/06/2026
coni:10189,FIGC,963758,01/07/2025,30/06/2026
coni:10194,FIGC,930614,01/07/2025,30/06/2026
coni:10210,FIGC,953260,01/07/2025,30/06/2026
coni:102172,FIGC,922800,01/07/2025,30/06/2026
coni:1025,FIGC,795088,01/07/2025,30/06/2026
coni:102528,FIGC,934485,01/07/2025,30/06/2026
coni:10261,FIGC,31650,01/07/2025,30/06/2026
coni:102667,FIGC,911706,01/07/2025,30/06/2026
coni:10272,CSI|FIGC,68874,01/07/2025,30/06/2026
coni:102744,FIGC,938104,01/07/2025,30/06/2026
coni:10275,FIGC,945706,01/07/2025,30/06/2026
coni:10280,FIGC,945703,01/07/2025,30/06/2026
coni:10294,FIGC,675611,01/07/2025,30/06/2026
coni:10295,FIGC,918881,01/07/2025,30/06/2026
coni:10297,FIGC,917296,01/07/2025,30/06/2026
coni:103017,FIGC,73962,01/07/2025,30/06/2026
coni:103022,CSI|FIGC,64037,01/07/2025,30/06/2026
coni:103045,FIGC,74813,01/07/2025,30/06/2026
coni:1032,FIGC,780158,01/07/2025,30/06/2026
coni:10323,FIGC,26360,01/07/2025,30/06/2026
coni:103249,FIGC,675267,01/07/2025,30/06/2026
coni:103328,CSI|FIGC,67923,01/07/2025,30/06/2026
coni:1034,ENDAS|FIGC,72507,01/07/2025,30/06/2026
coni:10341,FIGC,949244,01/07/2025,30/06/2026
coni:10352,FIGC,66822,01/07/2025,30/06/2026
coni:10361,FIGC,947436,01/07/2025,30/06/2026
coni:103628,FIGC,665436,01/07/2025,30/06/2026
coni:103648,FIGC,58145,01/07/2025,30/06/2026
coni:103662,CSI|FIGC,00671,05/06/2025,31/05/2026
coni:103689,FIGC|PGS,910073,01/07/2025,30/06/2026
coni:103696,FIGC,70365,01/07/2025,30/06/2026
coni:103702,FIGC,740316,01/07/2025,30/06/2026
coni:103715,FIGC,913346,01/07/2025,30/06/2026
