master_id,codice_fiscale,denominazione,regione,provincia,comune,regione_normalizzata,provincia_normalizzata,comune_normalizzato,discipline_praticate,sport_normalizzati,organisms,source_ids,source_count
reg_0a5569283ba6723c,00270240559,ASSOCIAZIONE POLISPORTIVA D.CAMPITELLO,Umbria,TR,Terni,Umbria,TR,Terni,"Calcio (a 11), Futsal (calcio da sala - calcio a 5)",calcio,FIGC,100,1
reg_e60052c637c161c0,01959950351,HELLAS ALBINEA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Emilia-Romagna,RE,Albinea,Emilia-Romagna,RE,Albinea,Futsal (calcio da sala - calcio a 5),calcio,CSI,10000,1
reg_ffa2eb6fa0e16810,94099850714,A.S.D. BOVINO NUOTO,Puglia,FG,Foggia,Puglia,FG,Foggia,"Attività sportiva ginnastica finalizzata alla salute ed al fitness, Nuoto",fitness|ginnastica|nuoto,CSEN,100003,1
reg_fbdc8612e9a5c232,01959960350,A.S.D. HOCKEY PRATO CITTA' DEL TRICOLORE,Emilia-Romagna,RE,Reggio nell'Emilia,Emilia-Romagna,RE,Reggio nell'Emilia,"Hockey Indoor, Hockey, Futsal (calcio da sala - calcio a 5)",calcio|hockey,CSI,10001,1
reg_8f199198a2ad48c7,94100030710,GYM ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Puglia,FG,Foggia,Puglia,FG,Foggia,"Trampolino Elastico, Attività sportiva ginnastica finalizzata alla salute ed al fitness, Ginnastica per Tutti, Ginnastica Artistica, Attività sportiva ginnastica finalizzata alla salute ed al fitness, Ginnastica per Tutti, Ginnastica Artistica",fitness|ginnastica,AICS,100012,1
reg_1251f119369730d9,94100220717,"ASSOCIAZIONE SPORTIVA DILETTANTISTICA ""KARMA YOGA""",Puglia,FG,Foggia,Puglia,FG,Foggia,Attività sportiva ginnastica finalizzata alla salute ed al fitness,fitness|ginnastica,UISP,100016,1
reg_d92edf55ed49bc8a,94100500266,ASSOC.SPORTIVA DILETTANTISTICA SCUOLA DANZA RONCADE,Veneto,TV,Roncade,Veneto,TV,Roncade,"DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE ACCADEMICHE Danza Classica: Tecniche di Balletto, Variazioni Libere, Pas de Deux, Repertorio Classico, Attività sportiva ginnastica finalizzata alla salute ed al fitness, STREET DANCE Urban Dance: Hip Hop, Break Dance, Electric Boogie, Funk, Hype, Contaminazioni e stili derivati",danza|fitness|ginnastica,US_ACLI,100023,1
reg_b8740256f8b99d13,94100720260,ASSOCIAZIONE SPORTIVA DILETTANTISTICA CENTER STUDY BALLET,Veneto,TV,Casier,Veneto,TV,Casier,"Attività sportiva ginnastica finalizzata alla salute ed al fitness, Ginnastica per Tutti, STREET DANCE Urban Dance: Hip Hop, Break Dance, Electric Boogie, Funk, Hype, Contaminazioni e stili derivati, DANZE REGIONALI Danze Folk e liscio Tradizionale: Mazurka, Valzer, Polka e altri balli tradizionali, DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE COREOGRAFICHE Danze Etniche, Popolari e di Carattere: Tap Dance, Twist, Charleston, Belly Dance e danze tradizionali varie, DANZE ACCADEMICHE Danza Classica: Tecniche di Balletto, Variazioni Libere, Pas de Deux, Repertorio Classico, DANZE INTERNAZIONALI Danze Freestyle: Danze Caraibiche (Salsa, Mambo, Merengue, Bachata, Combinata, Rueda), Danze Argentine (Tango, Vals, Milonga), Hustle, Show Coppie e Formazioni, DANZE COREOGRAFICHE Danze Freestyle: Synchro Dance, Choreographic Dance, Show Dance, Disco Dance, DANZE INTERNAZIONALI Danze Standard e Danze Latine: Valzer Inglese, Tango, Valzer Viennese, Slow Foxtrot, Quick Step, Samba, Cha Cha Cha, Rumba, Paso Doble, Jive, Combinata, Show Coppie e Formazioni, DANZE INTERNAZIONALI Danze Jazz: Rock'n Roll, Rock Acrobatico, Boogie Woogie, Swing Dance, Lindy Hop, Mixing Blues, Combinata, Show Coppie e Formazioni, DANZE NAZIONALI Liscio Unificato e Sala: Mazurka, Valzer Viennese, Polka, Valzer Lento, Tango, Foxtrot, Combinata, Show Coppie e Formazioni",danza|fitness|ginnastica|sci,OPES,100028,1
reg_0e59c66f7aa0e950,94101070210,EVENTO DANZA ASSOC.SPORTIVA DILETTANTISTICA,Trentino-Alto Adige/Südtirol,BZ,Bolzano/Bozen,Trentino-Alto Adige,BZ,Bolzano - Bozen,"Ginnastica Acrobatica, Attività sportiva ginnastica finalizzata alla salute ed al fitness, Ginnastica per Tutti, STREET DANCE Urban Dance: Hip Hop, Break Dance, Electric Boogie, Funk, Hype, Contaminazioni e stili derivati, DANZE REGIONALI Danze Folk e liscio Tradizionale: Mazurka, Valzer, Polka e altri balli tradizionali, DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE COREOGRAFICHE Danze Etniche, Popolari e di Carattere: Tap Dance, Twist, Charleston, Belly Dance e danze tradizionali varie, DANZE ACCADEMICHE Danza Classica: Tecniche di Balletto, Variazioni Libere, Pas de Deux, Repertorio Classico, DANZE INTERNAZIONALI Danze Freestyle: Danze Caraibiche (Salsa, Mambo, Merengue, Bachata, Combinata, Rueda), Danze Argentine (Tango, Vals, Milonga), Hustle, Show Coppie e Formazioni, DANZE COREOGRAFICHE Danze Freestyle: Synchro Dance, Choreographic Dance, Show Dance, Disco Dance, DANZE INTERNAZIONALI Danze Standard e Danze Latine: Valzer Inglese, Tango, Valzer Viennese, Slow Foxtrot, Quick Step, Samba, Cha Cha Cha, Rumba, Paso Doble, Jive, Combinata, Show Coppie e Formazioni, DANZE INTERNAZIONALI Danze Jazz: Rock'n Roll, Rock Acrobatico, Boogie Woogie, Swing Dance, Lindy Hop, Mixing Blues, Combinata, Show Coppie e Formazioni, DANZE NAZIONALI Liscio Unificato e Sala: Mazurka, Valzer Viennese, Polka, Valzer Lento, Tango, Foxtrot, Combinata, Show Coppie e Formazioni",danza|fitness|ginnastica|sci,OPES,100036,1
reg_4257c816ed86ea48,94101550260,ASSOCIAZIONE SPORTIVA DILETTANTISTICA SCUOLA DI DANZA CLASSICA E MODERNA,Veneto,TV,Paese,Veneto,TV,Paese,"DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE ACCADEMICHE Danza Classica: Tecniche di Balletto, Variazioni Libere, Pas de Deux, Repertorio Classico, STREET DANCE Urban Dance: Hip Hop, Break Dance, Electric Boogie, Funk, Hype, Contaminazioni e stili derivati",danza,AICS,100043,1
reg_db457e0c50a8d558,94101900218,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ALESTER,Trentino-Alto Adige/Südtirol,BZ,Bolzano/Bozen,Trentino-Alto Adige,BZ,Bolzano - Bozen,"DANZE ACCADEMICHE Danza Moderna e Contemporanea: Modern Jazz, Lyrical Jazz, Graham, Cunningam, Limon e generi derivati., DANZE COREOGRAFICHE Danze Etniche, Popolari e di Carattere: Tap Dance, Twist, Charleston, Belly Dance e danze tradizionali varie, DANZE ACCADEMICHE Danza Classica: Tecniche di Balletto, Variazioni Libere, Pas de Deux, Repertorio Classico, DANZE INTERNAZIONALI Danze Freestyle: Danze Caraibiche (Salsa, Mambo, Merengue, Bachata, Combinata, Rueda), Danze Argentine (Tango, Vals, Milonga), Hustle, Show Coppie e Formazioni, DANZE COREOGRAFICHE Danze Freestyle: Synchro Dance, Choreographic Dance, Show Dance, Disco Dance, DANZE INTERNAZIONALI Danze Standard e Danze Latine: Valzer Inglese, Tango, Valzer Viennese, Slow Foxtrot, Quick Step, Samba, Cha Cha Cha, Rumba, Paso Doble, Jive, Combinata, Show Coppie e Formazioni, DANZE INTERNAZIONALI Danze Jazz: Rock'n Roll, Rock Acrobatico, Boogie Woogie, Swing Dance, Lindy Hop, Mixing Blues, Combinata, Show Coppie e Formazioni, DANZE NAZIONALI Liscio Unificato e Sala: Mazurka, Valzer Viennese, Polka, Valzer Lento, Tango, Foxtrot, Combinata, Show Coppie e Formazioni, Attività sportiva ginnastica finalizzata alla salute ed al fitness, DANZE REGIONALI Danze Folk e liscio Tradizionale: Mazurka, Valzer, Polka e altri balli tradizionali",danza|fitness|ginnastica|sci,AICS,100048,1
reg_c7dff60a35167c89,94102200261,ASSOCIAZIONE SPORTIVA DILETTANTISTICA PATTINAGGIO ARTISTICO MIGNAGOLA,Veneto,TV,Carbonera,Veneto,TV,Carbonera,"Pattinaggio artistico, Pattinaggio artistico, Ginnastica per Tutti",ginnastica|pattinaggio,AICS,100057,1
reg_2e36e5e309468a08,94102430710,ASSOCIAZIONE SPORTIVA DILETTANTISTICA MOTO CLUB MOTORPANNI,Puglia,FG,Panni,Puglia,FG,Panni,"Mototurismo, Motocross",atletica,UISP,100064,1
reg_b953c3385a16b043,94102830547,ASSOCIAZIONE SPORTIVA DILETTANTISTICA ATLETICO MALDOSSI,Umbria,PG,Corciano,Umbria,PG,Corciano,Pallacanestro,basket,CSI,100072,1
